date,incidence
7/4/2010,1
07/05/2010,0
07/06/2010,0
07/07/2010,0
07/08/2010,0
07/09/2010,0
07/10/2010,0
07/11/2010,0
07/12/2010,0
07/13/2010,0
07/14/2010,0
07/15/2010,0
07/16/2010,0
7/17/2010,2
7/18/2010,1
07/19/2010,0
07/20/2010,0
07/21/2010,0
7/22/2010,1
7/23/2010,1
07/24/2010,0
7/25/2010,1
07/26/2010,0
7/27/2010,1
07/28/2010,0
7/29/2010,1
07/30/2010,0
07/31/2010,0
08/01/2010,0
08/02/2010,0
08/03/2010,0
08/04/2010,0
08/05/2010,0
08/06/2010,0
08/07/2010,0
8/8/2010,1
08/09/2010,0
08/10/2010,0
08/11/2010,0
08/12/2010,0
08/13/2010,0
08/14/2010,0
08/15/2010,0
8/16/2010,1
08/17/2010,0
8/18/2010,1
8/19/2010,1
08/20/2010,0
8/21/2010,3
08/22/2010,0
08/23/2010,0
08/24/2010,0
08/25/2010,0
8/26/2010,1
08/27/2010,0
08/28/2010,0
08/29/2010,0
8/30/2010,1
08/31/2010,0
9/1/2010,1
9/2/2010,3
9/3/2010,3
9/4/2010,4
9/5/2010,4
9/6/2010,4
9/7/2010,5
9/8/2010,3
9/9/2010,5
9/10/2010,2
9/11/2010,5
9/12/2010,4
9/13/2010,1
9/14/2010,4
9/15/2010,6
9/16/2010,3
9/17/2010,8
9/18/2010,7
9/19/2010,15
9/20/2010,13
9/21/2010,17
9/22/2010,15
9/23/2010,22
9/24/2010,23
9/25/2010,25
9/26/2010,16
9/27/2010,10
9/28/2010,14
9/29/2010,32
9/30/2010,22
10/1/2010,46
10/2/2010,40
10/3/2010,36
10/4/2010,53
10/5/2010,35
10/6/2010,51
10/7/2010,48
10/8/2010,44
10/9/2010,43
10/10/2010,61
10/11/2010,47
10/12/2010,30
10/13/2010,53
10/14/2010,35
10/15/2010,46
10/16/2010,57
10/17/2010,50
10/18/2010,51
10/19/2010,61
10/20/2010,60
10/21/2010,62
10/22/2010,56
10/23/2010,39
10/24/2010,49
10/25/2010,39
10/26/2010,33
10/27/2010,41
10/28/2010,41
10/29/2010,33
10/30/2010,39
10/31/2010,40
11/1/2010,39
11/2/2010,43
11/3/2010,38
11/4/2010,35
11/5/2010,51
11/6/2010,47
11/7/2010,47
11/8/2010,53
11/9/2010,50
11/10/2010,68
11/11/2010,61
11/12/2010,41
11/13/2010,52
11/14/2010,31
11/15/2010,39
11/16/2010,28
11/17/2010,22
11/18/2010,11
11/19/2010,28
11/20/2010,13
11/21/2010,19
11/22/2010,13
11/23/2010,14
11/24/2010,12
11/25/2010,11
11/26/2010,10
11/27/2010,8
11/28/2010,10
11/29/2010,7
11/30/2010,4
12/1/2010,8
12/2/2010,5
12/3/2010,7
12/4/2010,9
12/5/2010,3
12/6/2010,6
12/7/2010,5
12/8/2010,4
12/9/2010,3
12/10/2010,5
12/11/2010,1
12/12/2010,2
12/13/2010,3
12/14/2010,1
12/15/2010,2
12/16/2010,2
12/17/2010,2
12/18/2010,6
12/19/2010,3
12/20/2010,1
12/21/2010,0
12/22/2010,0
12/23/2010,0
12/24/2010,1
12/25/2010,0
12/26/2010,0
12/27/2010,1
12/28/2010,2
12/29/2010,0
12/30/2010,0
